index,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,fifties,thirties,zeros,overall_average,strike_rate,form_innings,form_runs,recent_not_outs,recent_100s,recent_50s,recent_30s,recent_zeros,form_average,home_innings,home_runs,home_not_out_count,home_100s,home_50s,home_30s,home_zeros,home_average,away_innings,away_runs,away_not_out_count,away_100s,away_50s,away_30s,away_zeros,away_average,img_url
805,Taskin Ahmed,Bangladesh,7,34,4,39,0,0,0,1,11.33333333,81.66666667,7,34,4,0,0,0,1,11.33333333,3,17,3,0,0,0,0,0,4,17,1,0,0,0,1,5.666666667,https://i.ibb.co/YN3dFnR/player.png
806,TM Head,Australia,15,319,3,252,0,0,5,0,26.58333333,123.1447076,10,206,2,0,0,3,0,25.75,6,99,0,0,0,2,0,16.5,9,220,3,0,0,3,0,36.66666667,https://i.ibb.co/YN3dFnR/player.png
814,Mosaddek Hossain,Bangladesh,13,182,4,167,0,0,2,1,20.22222222,100.3053891,10,146,4,0,0,2,1,24.33333333,5,78,2,0,0,1,0,26,8,104,2,0,0,1,1,17.33333333,https://i.ibb.co/YN3dFnR/player.png
816,Muhammad Usman,United Arab Emirates,30,604,3,526,0,2,5,3,22.37037037,97.45596391,10,236,2,0,1,0,1,29.5,19,372,3,0,2,1,3,23.25,11,232,0,0,0,4,0,21.09090909,https://i.ibb.co/YN3dFnR/player.png
819,UT Khawaja,Australia,9,241,1,185,0,1,3,0,30.125,133.738332,9,241,1,0,1,3,0,30.125,1,14,0,0,0,0,0,14,8,227,1,0,1,3,0,32.42857143,https://i.ibb.co/YN3dFnR/player.png
820,Muhammad Kaleem,United Arab Emirates,8,95,0,115,0,1,0,1,11.875,58.58521025,8,95,0,0,1,0,1,11.875,1,6,0,0,0,0,0,6,7,89,0,0,1,0,1,12.71428571,https://i.ibb.co/YN3dFnR/player.png
831,PM Nevill,Australia,5,25,4,11,0,0,0,0,25,266,5,25,4,0,0,0,0,25,0,31,1,0,0,0,0,13,5,25,4,0,0,0,0,25,https://i.ibb.co/YN3dFnR/player.png
832,A Zampa,Australia,6,36,4,35,0,0,0,0,18,118.6706349,6,36,4,0,0,0,0,18,0,31,1,0,0,0,0,13,6,36,4,0,0,0,0,18,https://i.ibb.co/YN3dFnR/player.png
834,Bilal Khan,Oman,6,18,5,28,0,0,0,0,18,92.59259259,6,18,5,0,0,0,0,18,0,31,1,0,0,0,0,13,6,18,5,0,0,0,0,18,https://i.ibb.co/YN3dFnR/player.png
835,AC Agar,Australia,17,176,5,163,0,0,0,2,14.66666667,92.13883658,10,94,4,0,0,0,2,15.66666667,0,31,1,0,0,0,0,13,17,176,5,0,0,0,2,14.66666667,https://i.ibb.co/YN3dFnR/player.png
