Unnamed: 0,ID,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,fifties,thirties,zeros,overall_average,strike_rate,form_innings,form_runs,recent_not_outs,recent_100s,recent_50s,recent_30s,recent_zeros,form_average,total_recent_ball_faced,form_strike_rate,home_innings,home_runs,home_not_out_count,home_100s,home_50s,home_30s,home_zeros,home_average,total_home_ball_faced,home_strike_rate,away_innings,away_runs,away_not_out_count,away_100s,away_50s,away_30s,away_zeros,away_average,total_away_ball_faced,away_strike_rate,overall_Percentage,recent_Percentage,home_Percentage,away_Percentage
1243,1244,V Baskaran,Singapore,4,18,2,23,0,0,0,2,9,39.42307692,4,18,2,0,0,0,2,9,0,0,1,0,1,0,0,0,1,0,0,0,3,18,1,0,0,0,1,9,0,0,29.1,29.1,0,25.5
1244,1245,AAhan Achar,Singapore,2,2,2,2,0,0,0,1,0,100,2,2,2,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1245,1246,HT Tector,Ireland,18,364,6,275,0,1,4,0,30.33333333,120.9733633,10,195,2,0,0,3,0,24.375,0,0,2,81,0,0,1,0,0,40.5,0,0,16,283,6,0,0,4,0,28.3,0,0,31.1,23,18.2,35.4
1246,1247,Ainool Hafizs,Malaysia,3,41,0,46,0,0,0,0,13.66666667,93.58974359,3,41,0,0,0,0,0,13.66666667,0,0,3,41,0,0,0,0,0,13.66666667,0,0,0,36.5,1,0,0,0,0,13,0,0,14.6,14.6,16.5,0
1247,1248,T Langa,Vanuatu,1,14,0,9,0,0,0,0,14,155.5555556,1,14,0,0,0,0,0,14,0,0,0,31,1,0,0,0,0,13,0,0,1,14,0,0,0,0,0,14,0,0,14.6,14.6,0,17
1248,1249,W Nalisa,Vanuatu,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,31,1,0,0,0,0,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1249,1250,JW Chilia,Vanuatu,3,6,2,10,0,0,0,0,6,78.88888889,3,6,2,0,0,0,0,6,0,0,0,31,1,0,0,0,0,13,0,0,3,6,2,0,0,0,0,6,0,0,43.7,43.7,0,51
1250,1251,CN Ackermann,Netherlands,11,243,4,203,0,0,2,0,34.71428571,123.2234732,10,216,4,0,0,2,0,36,0,0,0,31,1,0,0,0,0,13,0,0,11,243,4,0,0,2,0,34.71428571,0,0,25.7,27.2,0,30
1251,1252,Suraj Kumar,Oman,8,100,1,90,0,0,1,0,14.28571429,104.1468254,8,100,1,0,0,1,0,14.28571429,0,0,0,31,1,0,0,0,0,13,0,0,8,100,1,0,0,1,0,14.28571429,0,0,19.2,19.2,0,22.3
1252,1253,W Viraliliu,Vanuatu,3,8,1,10,0,0,0,0,4,85,3,8,1,0,0,0,0,4,0,0,0,31,1,0,0,0,0,13,0,0,3,8,1,0,0,0,0,4,0,0,21.9,21.9,0,25.5
1253,1254,SH Obed,Vanuatu,3,13,1,13,0,0,0,0,6.5,100,3,13,1,0,0,0,0,6.5,0,0,0,31,1,0,0,0,0,13,0,0,3,13,1,0,0,0,0,6.5,0,0,21.9,21.9,0,25.5
1254,1255,AL Stephen,Vanuatu,1,1,1,2,0,0,0,0,0,50,1,1,1,0,0,0,0,0,0,0,0,31,1,0,0,0,0,13,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1255,1256,Ahsan Abbasi,Hong Kong,5,63,1,70,0,0,0,0,15.75,91.96428571,5,63,1,0,0,0,0,15.75,0,0,0,31,1,0,0,0,0,13,0,0,5,63,1,0,0,0,0,15.75,0,0,18.2,18.2,0,21.2
1256,1257,SS McKechnie,Hong Kong,15,213,6,227,0,0,3,3,23.66666667,82.64459241,10,185,5,0,0,3,2,37,0,0,0,31,1,0,0,0,0,13,0,0,15,213,6,0,0,3,3,23.66666667,0,0,30.9,34.2,0,36
