index,player_name,team,overall_innings,overall_runs,overall_notout,balls,centuries,fifties,thirties,zeros,overall_average,strike_rate,form_innings,form_runs,recent_not_outs,recent_100s,recent_50s,recent_30s,recent_zeros,form_average,home_innings,home_runs,home_not_out_count,home_100s,home_50s,home_30s,home_zeros,home_average,away_innings,away_runs,away_not_out_count,away_100s,away_50s,away_30s,away_zeros,away_average,img_url
965,P Agnihotri,Norway,2,25,0,36,0,0,0,0,12.5,68.51851852,2,25,0,0,0,0,0,12.5,0,31,1,0,0,0,0,13,2,25,0,0,0,0,0,12.5,https://i.ibb.co/YN3dFnR/player.png
966,Walid Ghauri,Norway,3,49,0,45,0,0,1,0,16.33333333,91.1976912,3,49,0,0,0,1,0,16.33333333,0,31,1,0,0,0,0,13,3,49,0,0,0,1,0,16.33333333,https://i.ibb.co/YN3dFnR/player.png
967,E Ul Haq,Norway,4,16,0,27,0,0,0,0,4,79.8245614,4,16,0,0,0,0,0,4,0,31,1,0,0,0,0,13,4,16,0,0,0,0,0,4,https://i.ibb.co/YN3dFnR/player.png
968,Nazakat Ali,Norway,2,35,0,31,0,0,0,0,17.5,111.4583333,2,35,0,0,0,0,0,17.5,0,31,1,0,0,0,0,13,2,35,0,0,0,0,0,17.5,https://i.ibb.co/YN3dFnR/player.png
969,Javed Maroofkhail,Norway,1,3,0,8,0,0,0,0,3,37.5,1,3,0,0,0,0,0,3,0,31,1,0,0,0,0,13,1,3,0,0,0,0,0,3,https://i.ibb.co/YN3dFnR/player.png
970,Tafseer Ali,Norway,4,31,2,54,0,0,0,0,15.5,61.69181034,4,31,2,0,0,0,0,15.5,0,31,1,0,0,0,0,13,4,31,2,0,0,0,0,15.5,https://i.ibb.co/YN3dFnR/player.png
971,Khizer Ahmed,Norway,4,32,2,47,0,0,0,1,16,44.12698413,4,32,2,0,0,0,1,16,0,31,1,0,0,0,0,13,4,32,2,0,0,0,1,16,https://i.ibb.co/YN3dFnR/player.png
972,OE Newey,Guernsey,2,38,1,46,0,0,0,0,38,82.0662768,2,38,1,0,0,0,0,38,2,38,1,0,0,0,0,38,0,36.5,1,0,0,0,0,13,https://i.ibb.co/YN3dFnR/player.png
973,NJ Ferraby,Jersey,9,122,0,111,0,0,1,2,13.55555556,79.97715248,9,122,0,0,0,1,2,13.55555556,0,31,1,0,0,0,0,13,9,122,0,0,0,1,2,13.55555556,https://i.ibb.co/YN3dFnR/player.png
974,C Bisson,Jersey,8,100,1,72,0,0,1,2,14.28571429,99.86721612,8,100,1,0,0,1,2,14.28571429,0,31,1,0,0,0,0,13,8,100,1,0,0,1,2,14.28571429,https://i.ibb.co/YN3dFnR/player.png
975,BDH Stevens,Jersey,10,190,1,193,0,0,2,1,21.11111111,88.31024983,10,190,1,0,0,2,1,21.11111111,0,31,1,0,0,0,0,13,10,190,1,0,0,2,1,21.11111111,https://i.ibb.co/YN3dFnR/player.png
